"height","weight","age","ball_control","dribbling","slide_tackle","stand_tackle","aggression","reactions","att_position","interceptions","vision","composure","crossing","short_pass","long_pass","acceleration","stamina","strength","balance","sprint_speed","agility","jumping","heading","shot_power","finishing","long_shots","curve","fk_acc","penalties","volleys","gk_positioning","gk_diving","gk_handling","gk_kicking","gk_reflexes"
176,71,22,62,58,52,55,44,52,42,32,65,60,52,72,71,62,80,65,72,64,58,56,51,62,50,64,55,58,48,46,14,8,8,13,7
175,71,22,76,73,70,71,72,68,63,67,75,69,43,77,73,64,80,57,82,67,71,63,58,69,51,71,67,69,58,39,6,14,9,5,15
183,72,26,65,60,23,28,67,67,68,30,60,65,38,61,44,72,84,80,69,74,66,90,66,65,67,57,47,51,70,61,10,12,14,9,14
180,74,19,52,50,21,19,49,60,60,18,49,50,22,49,38,67,59,62,59,64,64,56,61,52,58,42,31,28,56,36,12,12,10,13,9
175,78,19,38,50,48,47,48,48,46,52,36,38,45,33,29,66,60,52,78,63,62,58,40,29,25,28,30,31,39,22,8,14,11,14,12
197,98,31,20,17,16,12,31,71,12,11,39,54,13,14,20,39,33,79,29,43,25,53,13,50,12,17,18,16,20,19,69,74,62,67,73
185,76,33,72,79,31,34,66,66,65,36,67,64,76,68,68,74,66,76,63,75,74,73,64,80,70,75,80,74,73,58,7,12,12,8,10
169,66,20,53,52,38,40,39,45,48,32,55,53,41,57,54,64,52,42,68,67,65,50,45,49,43,46,54,44,49,46,9,13,12,5,12
165,64,24,77,78,80,81,68,75,63,78,79,66,72,84,82,62,67,63,78,57,77,57,60,61,53,60,54,55,49,55,13,14,11,8,9
186,82,24,68,67,66,71,61,62,65,68,65,70,55,70,69,52,60,75,55,49,65,72,70,55,65,54,44,45,49,48,8,11,11,7,14
185,71,24,61,61,40,44,54,57,60,40,60,60,56,60,55,76,70,71,70,70,64,69,57,61,61,58,67,44,61,56,9,14,8,14,13
176,75,27,53,51,61,64,58,58,37,57,36,46,49,55,53,72,59,74,70,80,41,81,56,54,35,34,30,24,39,30,6,11,10,10,13
189,88,33,23,14,17,12,37,68,17,24,44,58,14,30,28,59,39,66,44,59,33,80,17,51,11,13,11,11,21,13,71,72,69,68,71
179,73,30,45,46,50,52,58,51,40,50,40,41,44,50,48,62,83,70,71,71,71,67,57,50,40,38,32,38,40,34,7,8,14,9,7
169,62,27,79,81,40,55,51,76,73,55,79,76,78,77,70,84,85,33,92,84,92,80,62,69,68,56,79,73,70,67,13,6,14,13,15
172,66,24,76,81,27,32,60,69,72,25,73,72,70,71,59,88,68,60,82,88,86,60,56,79,71,75,72,58,66,67,7,5,6,14,12
183,74,21,44,32,64,68,68,44,20,64,31,48,34,42,38,63,54,73,57,51,49,81,54,30,20,22,28,24,39,29,10,7,13,9,8
179,73,33,69,65,65,64,64,64,56,70,65,64,68,67,69,70,69,68,70,75,72,72,55,55,38,41,65,63,54,38,6,6,9,10,7
180,72,32,66,67,32,37,62,68,69,23,64,64,62,64,59,67,72,72,68,65,69,86,68,77,67,70,60,56,67,68,11,13,11,15,8
177,70,26,64,67,62,64,62,62,58,55,45,59,60,62,63,85,78,49,75,76,74,57,54,63,55,59,42,46,50,34,7,15,5,8,6
185,80,33,67,64,23,32,47,64,69,30,55,50,57,62,55,62,70,80,36,57,36,53,72,71,66,69,56,47,58,65,9,11,7,7,9
173,65,25,64,63,72,70,69,61,55,69,38,61,62,58,49,74,72,68,84,78,73,73,48,45,33,33,48,35,47,28,11,11,12,13,9
180,70,28,70,70,65,66,59,63,58,69,58,66,73,65,57,67,61,61,76,70,74,63,65,53,21,42,70,21,22,33,13,11,7,9,15
186,81,23,68,63,22,24,45,62,66,17,53,59,53,60,48,66,53,77,58,67,59,70,67,66,70,62,45,51,69,54,11,14,7,11,12
171,65,20,58,56,28,29,36,50,51,19,50,52,50,56,50,78,56,42,82,75,84,46,31,56,52,47,42,34,42,44,12,12,9,13,11
186,83,27,74,74,72,76,83,73,65,76,71,72,68,75,72,66,48,80,63,76,64,77,72,80,40,71,62,60,40,53,14,11,13,8,10
179,77,31,54,56,61,62,70,55,51,56,66,62,60,61,60,60,67,70,66,61,66,53,56,63,41,52,61,60,62,52,7,10,9,13,8
179,70,29,59,56,62,55,66,58,55,59,54,57,50,62,67,62,75,75,71,69,74,74,62,64,44,58,42,48,45,39,13,9,10,11,10
170,65,30,77,70,75,77,77,73,58,75,67,64,67,76,70,74,88,68,83,64,74,78,53,69,42,51,54,47,42,37,8,7,14,15,7
179,69,29,66,70,62,64,74,65,67,68,67,65,74,68,69,76,83,67,73,78,81,61,52,64,58,59,68,67,53,51,6,13,12,12,15
183,80,30,73,72,66,72,67,74,71,72,70,76,77,70,70,76,91,77,68,79,75,84,68,73,59,62,71,56,56,48,5,10,8,7,14
170,71,26,67,69,49,52,58,65,60,48,66,71,68,67,66,75,65,53,82,68,76,46,40,63,58,62,72,67,61,59,13,15,9,7,9
188,90,34,60,63,29,28,49,63,60,38,46,60,38,52,40,75,68,84,60,85,68,61,56,73,64,58,59,41,61,55,15,11,15,9,14
181,78,29,56,54,58,59,48,59,44,56,40,45,56,56,55,68,66,70,62,69,61,65,43,52,42,41,51,31,38,29,11,7,13,6,12
175,69,24,65,70,52,62,61,65,57,63,66,55,53,72,63,66,73,58,71,68,68,49,38,41,57,62,63,65,48,39,8,12,14,14,9
170,60,21,64,68,33,34,32,42,50,18,50,48,51,48,44,83,53,33,75,81,80,48,45,53,59,56,53,39,51,53,6,7,13,15,10
185,74,20,71,74,48,35,51,68,69,29,73,76,65,73,66,74,67,47,71,73,80,68,43,66,64,63,63,59,67,65,7,14,14,8,13
173,62,34,66,68,35,41,50,62,63,31,62,63,62,63,57,72,49,49,83,72,90,49,48,67,56,62,72,66,52,64,15,14,8,7,6
187,85,23,14,12,12,12,23,44,4,19,38,27,12,21,20,26,19,64,30,17,30,43,11,48,8,7,10,13,14,8,64,70,65,64,67
185,69,38,57,54,59,61,68,62,56,61,57,62,60,61,58,34,61,65,50,32,55,78,59,60,56,56,61,52,59,59,16,8,12,11,12
185,81,26,69,68,30,38,76,67,74,30,67,69,62,70,58,77,71,83,67,76,71,76,73,78,70,63,45,38,75,66,5,12,15,12,10
183,77,21,62,64,66,65,70,59,55,58,45,54,63,64,58,79,83,63,71,81,73,72,59,71,35,45,73,64,48,33,6,8,6,8,7
175,70,25,71,64,47,50,61,63,57,56,64,62,49,70,63,64,73,58,66,63,67,68,46,57,51,56,60,57,53,58,12,5,7,14,15
193,84,19,42,36,54,57,56,48,25,54,34,42,29,43,41,61,54,77,47,58,49,54,57,36,19,20,26,21,29,24,6,13,8,9,6
182,77,30,74,68,74,73,89,70,71,72,65,71,64,74,71,68,72,81,65,69,69,81,76,78,60,64,55,48,68,62,9,12,9,12,13
191,81,22,69,66,77,78,73,70,44,77,57,65,58,69,69,74,76,81,56,77,63,74,76,52,26,24,33,23,32,28,10,5,8,6,6
180,70,31,54,53,61,62,57,57,53,57,62,55,63,53,52,67,66,65,67,63,62,51,49,56,43,48,48,37,32,42,15,12,8,10,11
173,72,31,66,67,64,67,64,65,57,61,47,55,69,62,58,73,73,68,65,75,72,67,52,62,39,54,52,41,45,42,8,7,13,9,8
170,57,23,53,55,26,25,38,40,46,17,47,45,49,52,46,71,44,52,67,82,75,45,33,47,47,39,47,36,50,40,11,9,15,7,9
178,76,29,70,71,75,74,89,71,66,75,70,80,65,76,75,75,78,79,68,74,69,88,80,70,51,58,42,47,63,39,15,13,9,15,15
174,69,22,60,49,54,56,62,63,42,49,49,52,53,66,60,52,71,52,72,60,63,61,48,57,33,41,52,44,48,37,14,5,13,6,6
173,68,24,67,70,22,29,33,41,42,26,41,46,40,44,38,81,60,53,72,77,84,51,31,51,53,46,64,36,45,43,10,11,7,11,10
188,80,29,52,43,69,70,73,67,20,72,31,58,29,64,51,52,68,79,56,48,57,90,71,53,34,29,37,36,50,45,14,12,14,8,5
188,84,34,62,47,66,68,72,64,36,69,55,70,40,67,54,35,69,85,51,50,40,71,77,71,41,21,48,23,50,34,8,10,14,14,8
190,84,25,39,34,72,73,60,55,40,66,33,46,35,61,55,60,68,70,48,63,50,70,66,46,32,40,27,28,45,36,11,8,13,13,12
185,71,23,64,63,61,63,58,59,60,55,60,62,46,65,63,72,80,66,77,78,75,56,42,58,55,53,48,45,49,52,8,12,8,15,12
175,70,31,44,47,54,55,53,50,35,54,38,49,44,42,35,69,74,64,65,67,64,75,41,33,21,26,35,29,28,25,13,9,5,6,10
180,70,28,58,55,60,64,55,60,34,64,28,57,59,59,57,67,57,57,67,69,69,68,58,32,15,49,68,69,39,28,11,8,7,10,10
176,73,31,80,79,57,57,70,83,82,75,81,81,80,81,81,75,86,66,78,72,79,61,48,74,79,74,77,71,71,69,10,6,6,10,10
183,72,23,63,59,62,64,67,61,49,63,58,56,51,66,63,67,55,68,67,69,71,65,68,56,39,52,40,43,43,29,10,7,13,6,15
183,75,21,60,52,66,68,60,65,47,68,43,52,65,61,42,68,70,64,55,71,70,53,63,30,26,27,46,31,36,21,14,11,13,14,11
177,62,19,63,71,25,28,34,54,51,26,53,43,52,56,44,78,47,37,79,71,76,34,44,58,54,41,50,36,47,52,12,13,7,5,8
191,85,32,62,61,31,33,59,60,62,31,62,66,61,64,57,59,47,82,74,60,72,66,66,69,61,62,64,63,68,62,12,8,8,14,14
185,72,23,68,71,65,66,74,64,62,63,67,68,57,67,64,73,84,67,72,72,68,68,56,69,55,61,60,38,47,55,11,6,9,9,12
178,78,23,75,77,35,40,45,77,80,38,75,59,74,74,70,81,82,74,66,81,77,41,29,63,68,56,56,55,34,49,14,10,10,11,9
190,83,19,16,10,11,12,24,53,7,8,24,34,10,18,23,30,22,56,27,30,22,40,12,39,5,8,12,10,12,9,52,56,56,52,60
176,74,20,63,64,25,25,33,57,59,22,54,53,62,62,60,67,52,48,63,65,66,41,39,62,61,53,47,42,59,52,13,10,6,9,11
176,75,33,77,78,31,32,72,68,75,31,76,70,75,76,74,65,45,62,74,67,68,68,60,79,66,75,67,68,62,68,10,13,7,10,8
173,68,25,72,76,15,23,34,70,72,17,74,67,69,65,64,79,62,47,65,77,73,50,59,64,69,60,59,56,68,61,10,6,13,6,7
185,80,28,23,18,15,14,25,62,18,20,31,32,14,24,27,41,30,63,58,46,38,59,15,50,10,17,14,13,28,18,63,69,61,67,66
188,78,33,75,70,71,72,78,70,65,67,72,74,68,77,75,61,78,83,50,67,63,80,74,75,60,68,49,53,70,66,16,9,8,14,14
185,79,21,53,30,70,72,66,55,32,68,37,47,31,54,36,65,60,61,55,67,54,73,60,35,25,15,24,24,39,25,7,14,14,9,7
175,70,27,73,68,72,74,71,74,59,75,69,75,73,78,75,71,85,65,79,65,72,70,60,68,48,63,66,55,58,48,11,9,12,15,9
186,75,23,66,64,47,39,41,59,63,28,65,57,53,64,58,74,62,64,62,77,55,54,56,64,65,60,48,44,52,59,14,6,14,7,5
187,81,30,66,69,25,32,46,61,61,33,59,55,66,63,58,67,55,73,61,76,67,55,52,74,62,74,66,64,46,60,10,14,16,7,9
184,74,22,64,46,64,66,70,54,24,64,39,46,43,61,63,66,55,67,62,69,67,72,66,42,21,27,28,29,31,23,10,15,14,13,6
175,69,31,69,71,69,72,59,69,56,66,50,67,70,66,57,74,80,53,77,83,74,75,54,54,35,48,43,57,55,38,10,9,9,8,11
176,72,22,62,57,40,38,55,58,60,38,56,54,46,60,54,72,58,47,72,70,63,58,48,55,56,44,46,32,39,42,12,14,14,8,12
191,84,24,58,52,64,67,67,63,38,66,44,61,40,63,60,53,76,83,46,55,40,63,64,49,38,34,38,29,40,35,10,11,11,15,8
176,70,24,58,56,57,59,64,57,50,60,58,59,49,62,60,65,70,65,69,64,58,57,47,55,51,53,52,49,50,46,15,12,10,13,11
178,68,31,87,79,71,80,78,83,69,81,84,84,75,91,88,63,86,66,72,47,75,58,56,71,64,62,75,76,89,71,14,14,7,13,8
186,80,19,14,6,14,14,25,32,4,11,26,26,12,18,27,34,22,65,45,31,28,57,11,38,9,8,12,12,12,9,51,53,49,50,53
178,69,22,56,51,57,60,51,51,46,50,33,42,50,55,43,81,65,68,71,86,70,62,49,35,42,39,38,32,45,46,10,9,5,9,13
191,84,31,55,52,61,67,65,64,38,68,39,70,37,60,55,34,34,81,41,34,36,55,66,57,24,29,28,29,43,34,8,8,16,14,15
193,97,28,23,11,11,13,25,62,7,22,43,47,11,26,25,31,23,73,35,37,33,55,15,46,8,11,21,17,39,11,67,63,62,61,66
171,65,24,58,64,60,64,60,61,70,61,60,60,60,59,52,90,74,68,83,90,76,72,44,72,55,55,53,35,40,31,11,11,6,11,11
192,86,24,63,63,30,33,55,62,59,31,51,58,29,57,34,84,62,75,52,86,54,69,68,67,68,61,48,38,57,62,10,7,10,15,13
168,69,22,62,69,37,33,61,64,57,26,66,57,55,64,60,80,72,34,88,78,60,61,33,59,56,50,57,53,46,41,10,15,13,10,9
189,75,22,72,66,62,59,58,63,35,59,48,49,52,70,59,55,70,65,52,60,57,56,62,52,38,40,41,40,53,38,9,6,7,8,8
185,78,27,57,41,72,74,72,60,32,78,36,60,31,70,61,65,70,68,65,55,66,73,68,38,33,40,39,34,40,41,10,9,6,8,15
178,74,25,63,61,52,57,61,61,60,56,62,56,58,63,61,74,82,50,83,73,79,65,45,64,60,66,62,68,57,48,10,12,12,13,6
189,76,29,64,61,21,34,59,65,67,22,58,65,29,67,44,62,61,75,54,66,62,64,61,67,68,58,48,40,66,66,13,14,14,10,9
183,80,29,68,59,73,74,75,70,45,73,54,70,64,73,68,70,69,78,68,73,67,79,70,59,53,55,57,36,50,51,9,11,6,12,14
190,85,19,17,7,14,14,23,37,6,7,28,39,12,20,15,18,23,61,27,27,37,30,14,42,6,5,14,13,18,5,55,57,61,56,57
177,69,28,77,77,71,77,70,78,76,79,76,71,70,79,80,69,81,74,69,66,70,59,47,69,73,70,72,47,48,30,7,6,10,13,8
170,69,21,69,69,59,62,78,69,64,62,64,66,64,67,60,83,75,69,85,77,73,64,51,64,57,56,62,51,48,58,7,13,6,9,13
197,87,23,10,10,11,10,24,48,7,13,32,34,11,28,21,23,29,37,29,19,31,33,12,41,7,7,11,12,15,8,55,57,57,54,54
180,73,22,70,67,60,63,59,67,59,62,68,72,67,74,72,68,66,64,68,62,78,47,37,68,64,72,65,50,63,61,6,7,10,7,13
178,70,27,62,65,52,55,39,62,62,53,57,56,63,60,49,84,74,60,79,83,80,57,58,63,63,59,53,54,64,55,8,5,13,13,5
175,69,20,71,72,51,49,52,74,67,54,58,64,53,63,59,80,70,42,75,78,79,58,52,69,62,55,56,41,56,45,14,10,13,10,10
186,80,31,58,49,60,60,67,62,51,61,59,51,31,60,59,67,80,80,52,67,60,78,64,49,54,51,40,38,39,34,15,14,8,15,15
174,71,29,60,46,63,65,70,55,42,70,40,62,68,63,46,84,59,70,55,84,70,70,55,31,32,22,50,26,32,32,14,10,7,6,7
190,78,22,70,67,28,31,52,72,73,31,55,57,52,71,53,66,70,74,61,64,67,73,72,74,72,70,54,51,65,68,8,11,10,8,14
177,70,22,64,64,59,59,58,58,53,56,57,59,59,57,48,78,75,60,76,78,80,71,53,56,50,42,52,36,42,40,13,12,6,12,9
178,72,34,73,62,72,73,81,74,72,80,76,71,52,77,77,52,72,73,64,48,59,73,56,80,58,67,55,57,60,26,9,11,8,13,15
176,73,35,70,71,19,20,43,72,73,20,64,73,42,65,56,68,64,67,69,67,78,82,70,68,72,69,79,60,74,70,10,9,12,8,9
187,79,25,70,68,65,70,69,65,54,63,59,65,59,70,70,76,81,76,65,75,70,70,60,67,44,41,56,48,52,44,6,8,15,7,14
170,60,21,50,52,50,52,53,53,47,52,40,39,49,51,47,70,59,44,71,69,58,58,46,26,25,30,33,35,32,23,14,10,12,13,9
175,74,32,56,52,56,58,65,61,49,58,60,39,47,55,53,67,74,58,74,52,77,76,35,54,31,54,31,46,33,28,6,7,7,12,15
182,76,31,65,72,29,22,60,62,70,25,70,57,60,64,55,73,63,62,51,59,58,57,58,58,60,60,61,59,53,63,12,19,11,11,12
194,84,32,53,43,70,71,80,65,28,69,31,53,30,52,50,39,34,86,33,43,49,78,75,52,22,18,20,27,40,20,11,16,6,16,16
194,82,22,19,14,11,15,29,57,7,15,44,42,13,31,26,24,29,64,24,26,36,38,14,42,9,8,16,15,14,7,58,60,57,56,62
190,83,29,71,68,26,28,58,72,70,30,66,71,49,67,50,67,71,76,44,69,69,77,68,72,69,57,56,35,65,60,6,15,9,11,10
187,73,26,85,85,78,83,78,79,72,82,83,86,76,85,83,73,86,72,78,70,72,73,62,69,66,65,71,68,64,71,14,8,7,14,12
185,75,22,65,64,64,63,54,60,58,56,63,66,64,66,65,66,62,60,61,63,62,59,58,58,53,45,57,57,50,50,12,9,13,9,14
180,79,33,70,72,67,69,60,69,60,68,68,65,74,71,66,81,86,78,75,82,79,80,52,66,58,68,70,74,71,47,8,9,7,11,7
184,82,33,56,65,35,33,45,63,65,23,55,65,51,60,55,72,68,62,74,75,73,31,67,58,68,65,56,65,66,56,10,8,8,14,14
179,72,31,71,67,59,64,67,69,58,62,67,69,72,74,72,69,72,61,69,61,77,55,58,66,57,66,75,69,53,69,12,14,7,7,10
176,74,26,76,77,18,23,61,70,75,31,68,73,71,65,60,83,71,68,73,87,82,76,58,75,76,72,56,53,71,70,8,14,7,6,15
190,81,25,46,38,64,66,68,64,27,65,42,56,42,58,54,34,63,85,51,34,48,67,64,48,28,32,44,28,46,35,8,6,6,7,6
177,74,25,74,75,30,35,44,65,63,44,61,60,61,65,54,81,76,64,73,76,74,44,46,75,64,60,58,44,64,61,6,6,7,10,5
177,72,31,65,60,48,56,47,63,57,44,57,76,62,60,63,74,58,60,62,75,82,64,58,55,61,57,70,62,64,66,7,8,15,11,15
186,80,29,72,66,51,55,74,72,70,60,81,67,74,74,79,65,91,75,68,68,70,78,64,67,63,63,67,48,64,62,13,11,15,14,14
179,70,20,29,46,53,57,53,48,34,50,44,51,42,46,43,52,60,41,70,55,56,53,45,22,26,23,36,32,40,23,10,14,9,9,12
178,75,27,63,68,53,59,62,64,62,52,58,58,61,57,52,76,73,76,80,77,81,66,62,64,63,61,48,41,50,49,8,13,7,7,14
191,93,26,44,41,59,62,65,53,32,57,30,54,30,53,42,70,65,90,45,69,45,74,63,40,33,21,26,20,36,22,9,12,8,12,12
189,84,20,44,34,64,66,57,42,24,58,35,46,35,54,52,68,62,75,52,72,54,70,58,40,22,20,27,29,41,25,13,15,9,15,6
179,71,22,13,9,13,11,14,59,5,14,23,21,16,11,22,21,23,37,50,24,38,61,8,44,7,9,16,11,12,7,56,61,59,59,65
185,83,26,71,70,31,37,64,65,65,36,66,64,63,65,56,78,54,71,62,79,75,70,64,70,67,67,65,63,77,71,8,6,14,13,6
181,73,33,65,61,64,65,72,59,56,63,64,65,57,65,63,46,74,70,63,52,61,70,63,65,55,57,53,55,48,38,14,15,8,11,14
177,76,30,67,62,28,35,45,62,62,34,68,62,66,67,67,68,65,59,75,59,77,64,42,65,62,66,69,70,55,51,16,9,7,6,13
184,81,28,76,74,72,76,79,78,73,76,70,75,61,76,74,65,93,76,66,66,67,75,77,77,71,71,55,51,51,65,10,8,14,7,6
194,89,26,61,54,70,68,80,64,33,67,35,65,29,60,54,63,40,82,35,68,33,73,73,50,27,43,27,26,33,26,14,9,7,12,13
193,80,22,52,53,55,56,61,53,48,51,51,47,51,56,55,70,73,78,65,69,56,71,58,46,40,46,32,32,31,34,9,15,9,9,9
180,82,34,72,67,67,69,81,69,63,71,64,68,64,68,62,77,74,73,59,78,71,76,73,70,53,65,64,50,57,60,14,7,7,15,16
181,76,32,60,63,26,33,60,64,73,39,67,65,67,61,66,69,84,89,35,73,60,78,64,70,67,66,70,73,74,65,13,15,11,12,10
170,74,19,63,61,20,18,40,50,58,17,54,55,47,52,44,70,56,65,77,67,62,56,52,60,65,56,54,31,61,54,8,11,6,9,7
191,84,26,68,60,76,80,78,76,56,77,65,75,41,73,76,65,78,80,51,57,75,84,80,55,43,35,62,37,48,31,5,9,10,5,13
179,66,23,75,75,68,68,58,72,70,70,67,65,78,70,63,87,74,60,75,85,78,67,69,68,60,61,57,47,67,54,10,9,5,10,12
174,71,23,64,66,67,72,58,66,61,69,58,50,68,71,58,72,83,65,70,70,71,61,53,43,35,36,42,18,41,20,12,6,12,8,13
191,90,28,70,64,19,25,65,70,73,22,61,68,45,65,59,76,64,82,74,77,70,75,74,74,72,65,43,43,69,64,6,11,6,16,16
187,81,21,52,42,65,67,59,59,26,62,42,54,34,63,57,62,62,74,56,55,65,82,62,35,22,22,33,32,34,26,6,7,14,9,15
175,65,30,63,65,37,40,45,52,54,49,54,45,57,62,59,72,56,59,66,70,69,32,30,65,55,60,41,57,47,54,9,15,11,12,9
178,68,20,70,74,60,63,56,62,62,58,69,72,66,72,69,75,75,61,84,72,84,60,51,63,61,58,66,63,52,53,12,9,10,15,8
181,80,19,60,58,47,43,74,55,53,48,49,50,46,59,56,68,76,74,68,66,65,70,44,60,40,49,52,44,40,42,10,12,8,13,7
181,75,19,56,54,53,53,43,50,45,53,46,47,40,60,56,71,53,58,74,74,73,66,50,45,36,39,37,40,36,34,10,14,5,8,7
178,70,28,82,82,58,66,61,76,76,67,80,80,73,80,79,65,72,34,78,55,77,50,52,69,66,68,80,64,65,63,6,7,7,14,8
186,80,28,75,68,61,66,66,77,60,68,70,78,64,75,71,58,81,70,59,54,75,33,49,63,57,62,68,64,48,47,12,16,15,8,11
171,62,22,58,56,55,50,52,52,50,49,55,56,41,57,55,67,61,59,70,71,77,72,41,45,40,42,50,43,47,42,13,15,7,6,7
183,82,31,61,56,68,64,84,66,27,65,51,68,45,60,59,54,80,77,76,47,63,78,55,59,37,57,26,40,34,29,7,8,11,13,14
192,85,36,18,15,13,11,34,74,10,20,55,65,13,23,28,46,34,66,55,46,52,68,11,55,10,14,11,11,19,12,79,75,73,73,75
180,69,35,91,90,52,55,73,84,82,42,89,89,85,85,81,80,74,61,75,79,91,70,53,83,74,85,92,88,73,78,12,10,7,11,11
186,73,25,70,58,65,67,64,60,52,58,67,73,45,70,61,49,68,77,53,55,56,64,63,65,44,58,46,55,38,30,11,12,8,6,7
172,76,33,75,75,67,73,82,71,73,70,73,73,77,74,72,67,55,60,77,55,67,70,39,76,66,75,78,69,72,75,14,15,8,11,13
180,75,26,67,66,32,34,64,67,73,40,68,69,53,66,63,67,74,70,69,67,71,66,65,71,73,66,63,65,67,67,7,7,13,10,13
191,81,22,51,53,61,65,48,50,41,58,37,54,55,56,42,66,57,77,54,52,54,73,57,42,31,26,30,28,50,29,14,11,13,6,8
182,78,32,64,64,55,57,62,61,64,58,63,68,51,65,63,61,70,61,59,61,59,62,60,62,55,50,40,50,54,46,14,6,10,9,14
185,80,32,66,60,68,68,75,67,50,67,50,63,61,66,66,52,70,77,63,55,54,80,68,65,43,60,65,62,55,50,12,9,7,11,11
178,75,35,72,73,71,69,85,68,64,71,67,77,65,74,69,75,79,66,72,72,78,85,68,70,48,64,59,59,49,49,12,16,8,11,6
188,82,35,66,58,63,61,81,60,55,63,72,68,72,72,74,34,86,83,47,40,56,72,69,72,45,62,69,58,53,51,6,13,8,13,13
185,77,26,64,64,50,56,65,59,60,49,62,60,60,64,62,73,75,67,72,73,72,65,40,70,64,67,58,60,61,39,12,7,10,7,14
183,77,32,65,60,62,64,65,60,52,64,57,61,61,60,66,65,68,69,65,67,62,66,60,46,38,46,54,29,37,43,10,10,14,14,9
189,80,26,58,55,71,70,62,61,39,63,51,64,56,60,52,68,72,78,60,69,59,67,58,57,38,41,32,31,34,37,15,10,14,8,16
180,75,27,65,64,34,33,42,57,62,28,64,64,64,65,60,64,64,55,66,69,60,59,36,58,59,58,62,42,54,42,6,10,9,8,13
192,78,23,68,67,19,22,42,54,67,19,52,53,40,51,38,63,52,72,46,69,51,61,67,60,71,62,42,41,70,44,14,6,7,9,15
187,90,26,70,70,17,14,33,67,68,12,64,65,53,67,55,66,56,70,54,62,57,70,66,68,70,63,65,44,69,66,12,6,15,6,11
183,77,24,56,50,62,64,60,61,44,60,52,59,61,63,58,70,72,71,73,74,69,75,60,60,35,36,58,53,42,34,7,7,10,7,13
191,85,28,62,59,31,26,60,66,74,26,48,71,33,62,54,62,63,85,52,53,60,81,74,74,71,57,57,55,70,64,13,8,8,13,11
174,65,22,60,63,67,64,52,55,55,57,57,55,63,64,55,81,81,67,84,89,86,53,44,35,41,40,42,37,41,39,14,7,11,12,13
191,79,25,50,52,58,60,59,53,24,57,34,57,51,56,53,38,63,75,38,35,44,70,61,46,34,28,42,26,31,22,5,10,11,11,12
174,68,24,75,72,14,18,54,68,73,23,65,70,44,72,49,79,83,71,79,75,77,79,74,70,79,71,68,62,68,68,8,10,9,9,11
178,83,33,73,69,49,51,82,64,68,48,73,71,65,71,67,67,78,75,72,65,64,74,57,75,67,74,69,74,75,67,9,10,8,15,11
188,81,27,76,67,83,84,75,84,32,85,62,79,51,80,73,59,68,77,60,76,61,79,80,37,36,20,41,39,36,25,6,10,12,8,8
191,90,27,58,61,18,21,62,63,64,21,61,62,40,63,38,72,58,84,53,88,61,59,72,77,62,66,51,31,61,61,6,15,10,15,10
194,86,20,47,35,58,60,56,56,25,58,28,53,26,44,33,62,62,81,35,55,40,66,62,30,22,18,28,29,38,20,11,8,8,5,7
