id,sede,modalidad,genero,horas_estudio,asistencia_pct,sueno_hs,ansiedad_score,promedio_prev,trabajos_entregados,tutorias,puntaje_final,aprobado
E140,Norte,Presencial,M,10.46,94.13,7.8,30.99,74.14,5,No,74.49,Aprobado
E141,Sur,Virtual,X,14.39,76.5,6.84,24.6,59.75,3,Si,67.36,Reprobado
E142,Norte,Virtual,M,12.24,89.98,6.48,31.15,65.1,4,Si,71.58,Aprobado
E143,Norte,Virtual,F,8.81,91.68,6.37,21.73,72.23,8,No,69.96,Reprobado
E144,Norte,Virtual,F,13.4,83.18,7.9,29.23,71.64,6,No,77.17,Aprobado
E145,Sur,Virtual,M,12.55,89.18,6.11,22.93,73.48,7,No,84.16,Aprobado
E146,Norte,Presencial,M,14.21,91.03,6.34,29.92,76.22,6,No,87.72,Aprobado
E147,Centro,Presencial,M,9.75,93.37,7.9,52.0,70.41,7,No,60.58,Reprobado
E148,Sur,Virtual,M,11.78,72.32,8.12,33.49,61.16,5,Si,59.84,Reprobado
E149,Centro,Virtual,M,9.79,81.7,6.09,6.0,79.99,8,No,89.18,Aprobado
E150,Centro,Virtual,M,7.98,66.49,7.69,10.14,79.9,7,Si,77.32,Aprobado
E151,Sur,Virtual,F,4.23,76.69,6.21,13.97,71.33,4,No,48.71,Reprobado
E152,Norte,Presencial,F,14.03,100.0,6.7,18.0,76.75,5,No,85.75,Aprobado
E153,Sur,Presencial,F,10.86,88.55,7.98,17.21,75.72,7,No,87.25,Aprobado
E154,Norte,Presencial,F,7.12,97.24,5.75,15.3,95.0,10,Si,96.6,Aprobado
E155,Sur,Virtual,F,13.22,84.94,5.79,19.81,79.21,6,No,68.51,Reprobado
E156,Sur,Presencial,M,13.51,84.98,8.54,15.06,70.79,8,Si,82.93,Aprobado
E157,Sur,Virtual,F,10.31,60.54,7.63,18.75,58.9,6,No,68.63,Reprobado
E158,Centro,Presencial,M,5.79,97.86,7.83,34.33,64.54,6,Si,63.26,Reprobado
E159,Sur,Virtual,F,17.53,80.45,7.32,11.73,69.43,5,Si,90.37,Aprobado
E160,Norte,Virtual,M,16.8,84.2,6.24,18.21,70.35,6,No,83.81,Aprobado
E161,Norte,Virtual,F,14.3,69.54,6.58,21.68,70.43,5,No,77.94,Aprobado
E162,Norte,Virtual,F,8.94,67.68,7.46,34.69,75.24,6,Si,60.99,Reprobado
E163,Centro,Virtual,M,11.31,76.41,5.39,23.43,69.21,5,No,45.4,Reprobado
E164,Sur,Virtual,F,16.9,77.91,7.46,20.39,79.26,9,No,83.43,Aprobado
E165,Sur,Virtual,M,14.31,91.84,6.97,19.54,64.52,8,No,80.33,Aprobado
E166,Norte,Presencial,F,10.72,88.02,6.89,36.53,89.1,6,Si,88.69,Aprobado
E167,Sur,Presencial,M,9.98,84.32,7.8,14.89,95.0,8,No,85.85,Aprobado
E168,Norte,Presencial,F,11.82,86.0,6.93,12.66,68.76,6,No,76.32,Aprobado
E169,Sur,Presencial,M,14.81,87.06,6.43,21.39,64.86,6,Si,78.53,Aprobado
E170,Centro,Virtual,F,15.15,73.49,7.85,52.0,79.93,7,Si,70.09,Aprobado
E171,Centro,Virtual,F,13.3,77.59,6.66,22.03,80.11,7,Si,76.36,Aprobado
E172,Sur,Virtual,M,10.82,71.61,7.28,20.77,75.48,6,No,79.74,Aprobado
E173,Sur,Presencial,M,10.67,85.67,6.91,14.44,78.5,8,No,100.0,Aprobado
E174,Norte,Virtual,M,14.23,82.49,6.04,24.5,61.79,5,Si,63.2,Reprobado
E175,Norte,Virtual,M,9.07,89.7,7.13,6.0,67.11,3,Si,70.62,Aprobado
E176,Sur,Virtual,M,9.35,72.81,7.52,33.21,75.69,5,Si,61.49,Reprobado
E177,Sur,Presencial,F,14.37,77.03,7.01,14.71,73.37,8,No,77.28,Aprobado
E178,Sur,Virtual,F,12.93,79.1,6.71,9.89,73.43,9,No,67.12,Reprobado
E179,Sur,Virtual,F,9.4,72.75,7.48,12.78,69.68,4,Si,61.42,Reprobado
E180,Norte,Presencial,F,12.39,99.64,6.63,20.6,60.0,5,No,75.63,Aprobado
E181,Norte,Presencial,M,11.47,82.2,7.31,20.07,70.32,6,No,77.81,Aprobado
E182,Norte,Presencial,M,15.93,90.37,5.14,21.11,86.56,8,No,92.36,Aprobado
E183,Norte,Virtual,X,14.49,81.24,5.36,17.6,68.45,6,Si,71.43,Aprobado
E184,Sur,Virtual,F,9.46,69.72,7.57,31.7,79.47,3,Si,62.98,Reprobado
E185,Sur,Presencial,M,14.35,88.77,7.82,26.52,66.65,7,Si,85.54,Aprobado
E186,Norte,Presencial,F,13.94,87.92,8.8,20.02,81.75,8,No,82.82,Aprobado
E187,Norte,Presencial,F,10.59,84.94,6.76,16.28,86.95,6,No,77.95,Aprobado
E188,Norte,Presencial,M,8.03,93.46,6.42,21.22,65.71,6,Si,77.49,Aprobado
E189,Sur,Presencial,F,12.3,83.83,6.63,29.21,76.2,8,No,79.67,Aprobado
E190,Sur,Virtual,F,11.47,88.99,6.88,25.51,53.59,8,Si,51.44,Reprobado
E191,Sur,Virtual,M,11.15,82.41,6.07,24.44,60.61,3,No,73.97,Aprobado
E192,Norte,Presencial,F,8.32,87.38,6.62,30.55,72.72,7,No,70.54,Aprobado
E193,Norte,Presencial,M,8.56,86.86,6.6,34.52,78.71,6,Si,76.93,Aprobado
E194,Norte,Presencial,M,19.81,91.06,7.38,26.09,73.26,9,Si,100.0,Aprobado
E195,Sur,Virtual,M,14.93,84.05,6.96,22.46,72.95,5,No,74.34,Aprobado
E196,Centro,Virtual,F,15.9,69.48,6.76,26.95,77.49,8,No,87.13,Aprobado
E197,Norte,Presencial,M,10.63,84.75,6.61,33.12,74.02,10,Si,93.57,Aprobado
E198,Norte,Virtual,M,14.01,75.22,8.09,17.77,78.65,8,No,90.15,Aprobado
E199,Norte,Virtual,M,7.53,76.45,8.55,32.0,82.67,7,Si,63.33,Reprobado
E200,Norte,Presencial,M,12.85,84.12,4.8,6.0,70.81,7,No,80.99,Aprobado
E201,Norte,Virtual,F,10.7,76.3,6.31,19.98,61.5,6,Si,66.59,Reprobado
E202,Sur,Virtual,F,11.08,64.68,7.15,19.14,60.39,5,Si,71.41,Aprobado
E203,Norte,Virtual,F,9.14,87.66,6.9,28.03,67.87,6,No,69.22,Reprobado
E204,Norte,Virtual,F,13.36,77.63,6.79,15.55,55.74,3,No,60.93,Reprobado
E205,Norte,Presencial,F,12.26,88.57,6.47,6.0,78.84,8,No,100.0,Aprobado
E206,Sur,Presencial,F,14.36,96.6,5.93,11.82,82.98,8,No,76.76,Aprobado
E207,Sur,Presencial,F,13.34,84.01,6.7,26.85,64.85,7,Si,68.47,Reprobado
E208,Norte,Virtual,F,12.28,80.6,6.21,26.01,62.78,6,Si,68.66,Reprobado
E209,Sur,Virtual,F,7.11,74.12,6.96,15.09,86.49,8,Si,76.96,Aprobado
E210,Sur,Virtual,F,12.93,84.25,6.31,22.77,69.84,5,No,76.07,Aprobado
E211,Centro,Presencial,F,17.01,87.1,5.78,27.44,73.72,8,No,89.75,Aprobado
E212,Centro,Virtual,M,12.03,87.01,7.25,24.4,78.92,6,Si,70.62,Aprobado
E213,Centro,Virtual,F,10.12,78.96,6.38,34.66,72.56,6,No,65.68,Reprobado
E214,Norte,Virtual,F,10.26,83.11,6.95,24.16,72.84,6,Si,65.36,Reprobado
E215,Norte,Presencial,M,12.52,91.3,7.3,14.43,77.77,6,No,95.01,Aprobado
E216,Centro,Presencial,F,7.12,85.56,6.9,13.64,70.7,6,No,65.58,Reprobado
E217,Centro,Virtual,F,10.83,82.64,7.37,25.94,68.37,7,Si,71.01,Aprobado
E218,Centro,Virtual,F,7.59,86.72,7.05,7.97,61.79,2,Si,71.65,Aprobado
E219,Norte,Virtual,F,10.38,84.66,5.75,47.0,75.1,7,No,72.37,Aprobado
E220,Norte,Virtual,F,14.6,87.13,6.54,28.19,63.77,5,Si,72.62,Aprobado
E221,Norte,Presencial,F,13.86,100.0,6.87,19.23,68.39,6,Si,85.84,Aprobado
E222,Sur,Virtual,M,8.32,77.71,7.61,52.0,88.36,8,Si,69.91,Reprobado
E223,Sur,Virtual,F,12.49,72.61,6.75,21.19,64.8,3,Si,51.9,Reprobado
E224,Sur,Presencial,X,12.6,78.55,6.34,9.59,89.72,8,No,84.04,Aprobado
E225,Norte,Presencial,F,17.77,98.19,6.23,23.02,79.8,7,No,92.0,Aprobado
E226,Norte,Presencial,F,10.96,81.24,7.28,19.41,85.1,8,No,73.35,Aprobado
E227,Centro,Presencial,M,15.07,95.77,8.51,19.96,76.64,9,No,77.16,Aprobado
E228,Sur,Virtual,F,11.23,93.06,7.25,24.95,55.46,5,Si,60.47,Reprobado
E229,Centro,Presencial,M,14.67,98.16,7.76,28.35,70.94,5,Si,86.16,Aprobado
E230,Centro,Presencial,M,15.01,92.51,7.18,20.26,59.88,5,Si,79.88,Aprobado
E231,Sur,Presencial,M,13.95,75.29,5.85,24.8,65.14,6,Si,74.04,Aprobado
E232,Norte,Presencial,F,13.02,96.11,7.08,10.58,87.2,9,No,95.34,Aprobado
E233,Norte,Virtual,M,17.14,86.31,7.98,18.43,72.24,5,No,81.5,Aprobado
E234,Centro,Presencial,F,11.96,78.88,6.58,19.72,63.51,5,No,82.85,Aprobado
E235,Centro,Virtual,F,8.11,92.86,6.35,10.32,72.29,6,Si,77.12,Aprobado
E236,Centro,Virtual,M,14.42,81.75,5.22,19.82,72.1,9,Si,75.28,Aprobado
E237,Norte,Presencial,F,13.29,100.0,6.6,18.35,79.02,9,No,93.58,Aprobado
E238,Centro,Virtual,F,13.63,82.82,6.06,52.0,82.85,7,Si,79.32,Aprobado
E239,Centro,Virtual,F,10.29,84.28,6.3,33.17,62.1,2,Si,61.23,Reprobado
E240,Sur,Presencial,M,13.48,88.22,6.97,14.82,62.92,5,Si,79.55,Aprobado
